Geneid	description	read01	read02	read03	read04	read05	read06	read07	read08
CG32701	l(1)G0320	36.3093637105252	23.4228214035408	38.5036783815211	24.3944579239518	20.7537431628859	33.6043213235034	28.4758525016569	24.5205908665976
CG2221	l(1)G0289	25.5146880128015	11.7114107017704	27.6436665303228	12.6851181204549	13.8358287752573	13.8370734861485	16.692741121661	20.597296327942
CG2968	ATPsyndelta	23.5520197041245	37.0861338889396	30.605487944286	37.0795760444067	20.7537431628859	27.6741469722969	28.4758525016569	34.3288272132367
CG14902	Decay	62.8053858776653	58.557053508852	37.5164045768667	60.4982556514004	19.765469678939	32.6159589316357	24.5481487083249	26.4822381359254
CG10504	Ilk	13.7386781607393	18.5430669444698	16.7836546791246	18.5397880222033	21.7420166468329	19.767247837355	24.5481487083249	16.6740017892864
CG8801	Non1	270.848226597432	222.516803333638	232.996617898435	273.21792874826	64.2377764565517	60.2901059039326	49.0962974166499	61.791888983826
CG17841	CG17841	74.5813957297275	89.7874820469064	79.9691781770053	74.1591520888134	53.3667681331352	63.2551930795359	83.4637056083048	67.6768307918094
CG2930	CG2930	74.5813957297275	104.426745424119	99.714654270093	80.9896003075199	101.792168846536	91.9177024437006	99.1745207816327	71.600125330465
CG6424	CG6424	5.88800492603112	9.759508918142	7.89819043723509	15.6124530713291	8.89446135552254	10.8719863105452	8.83733353499697	14.7123545199586
CG18480	CG18480	11.7760098520622	8.7835580263278	5.92364282792632	14.6366747543711	19.765469678939	8.89526152680973	9.81925948332997	9.80823634663904
CG7968	CG7968	70.6560591123734	68.316562426994	59.2364282792632	85.8684918923102	110.686630202058	116.626762240394	115.867261903294	127.507072506308
CG7953	CG7953	1065.72889161163	1098.92070418279	1087.97573272913	1116.29039460003	560.35106539792	542.610953135394	523.366530461488	553.184529950442
CG7916	CG7916	341.504285709805	315.232138055987	341.596736410418	324.934179547037	323.165429250652	352.845373896786	343.674081916549	329.556741247072
CG11405	Atf3	6.86933908036964	6.8316562426994	3.94909521861755	4.87889158479035	19.765469678939	27.6741469722969	51.0601493133159	31.3863563092449
CG8532	lqf	42.1973686365564	45.8696919152674	37.5164045768667	29.2733495087421	71.1556908441803	67.2086426470069	102.120298626632	78.4658907731123
CG7007	VhaPPA1-1	214.912179800136	208.853490848239	180.671106251753	193.204106757698	219.396713436223	206.567739900359	216.023708633259	199.107197836773
CG7625	VhaM9.7-b	123.648103446654	121.993861476775	117.485582753872	126.851181204549	118.592818073634	89.9409776599651	129.614225179956	102.005658005046
CG18617	Vha100-2	16.6826806237548	8.7835580263278	15.7963808744702	12.6851181204549	18.777196194992	6.91853674307424	11.783111379996	19.6164726932781
CG16916	Rpt3	7.85067323470816	7.8076071345136	13.8218332651614	13.660896437413	18.777196194992	11.860348702413	13.746963276662	8.82741271197514
CG10149	Rpn6	14.7200123150778	12.6873615935846	10.8600118511982	8.78200485262263	10.8710083234164	12.8487110942807	11.783111379996	9.80823634663904
CG10230	Rpn9	13.7386781607393	13.6633124853988	10.8600118511982	11.7093398034968	15.8123757431512	5.93017435120649	12.765037328329	9.80823634663904
CG11888	Rpn2	29.4400246301556	26.3506740789834	26.6563927256684	21.4671229730776	20.7537431628859	26.6857845804292	28.4758525016569	33.3480035785727
CG4157	Rpn12	7.85067323470816	11.7114107017704	6.9109166325807	8.78200485262263	23.7185636147268	13.8370734861485	13.746963276662	33.3480035785727
CG18174	Rpn11	7.85067323470816	12.6873615935846	7.89819043723509	10.7335614865388	8.89446135552254	8.89526152680973	13.746963276662	10.7890599813029
CG7762	Rpn1	23.5520197041245	15.6152142690272	37.5164045768667	27.321792874826	8.89446135552254	11.860348702413	4.90962974166499	10.7890599813029
CG17420	RpL15	597.632499992159	555.31605744228	600.262473229867	580.588098590052	630.518482758153	557.43638901341	622.54105124312	578.685944451704
CG6341	eEF1beta	110.890759440253	100.522941856863	103.663749488711	85.8684918923102	442.746520808233	383.484608044686	369.204156573207	360.943097556317
CG6092	Cmpk	24.533353858463	34.158281213497	26.6563927256684	32.2006844596163	25.6951105826207	29.6508717560324	24.5481487083249	35.3096508479006
CG15263	CG15263	66.7307224950194	74.1722677778792	78.9819043723509	39.0311326783228	7.90618787157559	17.7905230536195	18.6565930183269	12.7507072506308
CG8997	CG8997	1496.53458536624	1436.5997127505	1459.19068327918	1456.8370272184	1413.23108204414	1387.66079818232	1415.93721749618	1435.92580114796
CG8864	Cyp28a5	6.86933908036964	9.759508918142	7.89819043723509	10.7335614865388	13.8358287752573	9.88362391867748	15.710815173328	11.7698836159669
CG7631	CG7631	90.2827421991438	74.1722677778792	92.8037376375123	58.5466990174842	49.4136741973474	36.5694084991067	25.5300746566579	32.3671799439088
CG15255	CG15255	115.797430211945	111.258401666819	84.9055472002772	119.044954668885	52.3784946491883	59.3017435120649	40.2589638816529	46.0987108292035
CG1528	gammaCOP	35.3280295561867	50.7494463743384	31.5927617489404	35.1280194104905	12.8475552913103	4.94181195933874	9.81925948332997	12.7507072506308
CG14813	deltaCOP	22.570685549786	17.5671160526556	18.7582022884333	25.3702362409098	14.8241022592042	20.7556102292227	20.6204449149929	14.7123545199586
CG12225	Spt6	12.7573440064008	12.6873615935846	11.8472856558526	9.7577831695807	17.7889227110451	12.8487110942807	10.801185431663	9.80823634663904
CG10913	Spn55B	36.3093637105252	29.278526754426	28.6309403349772	28.297571191784	39.5309393578779	45.4646700259164	53.0240012099818	66.6960071571455
CG1696	Dd	23.5520197041245	35.1342321053112	29.6182141396316	27.321792874826	5.92964090368169	12.8487110942807	17.6746670699939	19.6164726932781
CG1548	cathD	41.2160344822178	47.8215936988958	36.5291307722123	38.0553543613647	44.4723067776127	24.7090597966937	29.4577784499899	36.2904744825645
CG10622	ScsbetaG	10.7946756977237	11.7114107017704	19.7454760930877	9.7577831695807	16.8006492270981	23.720697404826	13.746963276662	23.5397672319337
CG12323	Prosbeta5	25.5146880128015	33.1823303216828	32.5800355535947	20.4913446561195	22.7302901307798	40.5228580665777	23.5662227599919	25.5014145012615
CG5889	Men-b	24.533353858463	24.398772295355	25.669118921014	29.2733495087421	34.5895719381432	23.720697404826	32.4035562949889	29.4247090399171
CG11901	eEF1gamma	87.3387397361283	81.0039240205786	100.701928074747	93.6747184279748	90.9211605231193	86.9758904843618	74.6263720733078	89.2549507544153
CG12690	CHES-1-like	13.7386781607393	10.7354598099562	5.92364282792632	10.7335614865388	11.8592818073634	13.8370734861485	11.783111379996	10.7890599813029
CG12846	Tsp42Ed	41.2160344822178	61.4849061842946	49.3636902327193	45.8615808970293	35.5778454220901	45.4646700259164	50.0782233649829	55.9069471758425
CG13365	CG13365	4.9066707716926	6.8316562426994	6.9109166325807	10.7335614865388	11.8592818073634	19.767247837355	15.710815173328	27.4630617705893
CG8636	eIF3g1	13.7386781607393	13.6633124853988	8.88546424188948	14.6366747543711	14.8241022592042	13.8370734861485	10.801185431663	19.6164726932781
CG5014	Vap33	41.2160344822178	27.3266249707976	43.440047404793	29.2733495087421	41.5074863257718	40.5228580665777	26.5120006049909	33.3480035785727
CG3564	CHOp24	64.7680541863423	64.4127588597372	65.1600711071895	103.432501597555	46.4488537455066	30.6392341479002	42.2228157783189	25.5014145012615
CG11444	CG11444	15.7013464694163	19.519017836284	15.7963808744702	5.85466990174842	7.90618787157559	4.94181195933874	8.83733353499697	7.84658907731123
